year,month,day,hometeam,homescore,awayscore,awayteam
2004,3,25,G,3,1,S
2004,3,25,T,2,5,D
2004,3,25,C,1,2,Y
2004,3,25,E,7,3,H
2004,3,25,L,5,4,B
2004,3,25,M,3,2,F
2004,3,26,G,10,5,S
2004,3,26,T,7,3,D
2004,3,26,C,3,1,Y
2004,3,26,E,3,3,H
2004,3,26,L,9,5,B
2004,3,26,M,6,4,F
2004,3,27,G,3,2,S
2004,3,27,T,5,4,D
2004,3,27,C,6,3,Y
2004,3,27,E,0,7,H
2004,3,27,L,4,5,B
2004,3,27,M,0,1,F
2004,3,28,,,,
2004,3,29,S,2,6,T
2004,3,29,Y,2,6,G
2004,3,29,D,4,2,C
2004,3,29,F,13,3,B
2004,3,29,M,12,2,E
2004,3,29,H,2,6,L
2004,3,30,S,8,4,T
2004,3,30,Y,6,3,G
2004,3,30,D,3,11,C
2004,3,30,F,4,5,B
2004,3,30,M,0,5,E
2004,3,30,H,5,4,L
2004,3,31,S,6,6,T
2004,3,31,Y,4,6,G
2004,3,31,D,9,5,C
2004,4,1,S,4,1,D
2004,4,1,Y,2,1,T
2004,4,1,C,4,6,G
2004,4,1,F,4,3,H
2004,4,1,E,4,2,L
2004,4,1,B,3,4,M
2004,4,2,S,7,1,D
2004,4,2,Y,0,5,T
2004,4,2,C,3,0,G
2004,4,2,F,3,4,H
2004,4,2,E,15,4,L
2004,4,2,B,2,6,M
2004,4,3,S,2,3,D
2004,4,3,Y,3,8,T
2004,4,3,C,3,4,G
2004,4,3,F,4,3,H
2004,4,3,E,2,3,L
2004,4,3,B,3,1,M
2004,4,4,,,,
2004,4,5,G,2,8,T
2004,4,5,D,1,0,Y
2004,4,5,C,12,5,S
2004,4,5,L,10,0,F
2004,4,5,B,0,11,E
2004,4,5,H,4,4,M
2004,4,6,G,3,0,T
2004,4,6,D,3,0,Y
2004,4,6,C,6,3,S
2004,4,6,L,5,2,F
2004,4,6,B,2,5,E
2004,4,6,H,3,4,M
2004,4,7,G,1,10,T
2004,4,7,D,1,1,Y
2004,4,7,H,8,17,M
2004,4,8,Y,2,3,S
2004,4,8,D,3,2,G
2004,4,8,T,3,2,C
2004,4,8,E,5,3,F
2004,4,8,M,3,5,L
2004,4,9,Y,10,5,S
2004,4,9,D,0,0,G
2004,4,9,T,2,6,C
2004,4,9,E,7,9,F
2004,4,9,M,4,5,L
2004,4,9,H,13,1,B
2004,4,10,Y,6,5,S
2004,4,10,D,2,7,G
2004,4,10,T,7,8,C
2004,4,10,E,1,0,F
2004,4,10,M,4,2,L
2004,4,10,H,10,0,B
2004,4,11,,,,
2004,4,12,S,6,2,G
2004,4,12,T,4,3,Y
2004,4,12,C,3,1,D
2004,4,12,E,1,7,M
2004,4,12,L,1,4,H
2004,4,12,B,0,4,F
2004,4,13,S,0,8,G
2004,4,13,E,4,5,M
2004,4,13,L,1,5,H
2004,4,13,B,4,3,F
2004,4,14,S,6,4,G
2004,4,14,T,5,2,Y
2004,4,14,C,10,1,D
2004,4,14,E,2,9,M
2004,4,14,B,1,0,F
2004,4,15,D,6,0,T
2004,4,15,F,13,3,M
2004,4,15,B,7,4,L
2004,4,15,H,3,2,E
2004,4,16,G,6,5,C
2004,4,16,S,4,0,Y
2004,4,16,D,4,3,T
2004,4,16,F,8,2,M
2004,4,16,B,4,7,L
2004,4,17,G,2,1,C
2004,4,17,S,5,4,Y
2004,4,17,D,4,2,T
2004,4,17,F,3,5,M
2004,4,17,B,5,2,L
2004,4,17,H,9,7,E
2004,4,18,,,,
2004,4,19,Y,4,6,C
2004,4,19,T,8,4,S
2004,4,19,F,1,0,L
2004,4,19,E,2,3,B
2004,4,19,M,1,2,H
2004,4,20,Y,10,0,C
2004,4,20,T,1,5,S
2004,4,20,F,2,9,L
2004,4,20,E,4,3,B
2004,4,20,M,0,5,H
2004,4,21,F,4,3,L
2004,4,22,G,1,1,Y
2004,4,22,D,11,6,S
2004,4,22,C,9,12,T
2004,4,22,L,7,8,E
2004,4,23,G,0,3,Y
2004,4,23,D,5,7,S
2004,4,23,C,3,2,T
2004,4,23,L,8,8,E
2004,4,23,M,4,3,B
2004,4,23,H,2,4,F
2004,4,24,G,3,0,Y
2004,4,24,D,5,3,S
2004,4,24,C,2,6,T
2004,4,24,L,7,6,E
2004,4,24,M,3,4,B
2004,4,24,H,6,5,F
2004,4,25,,,,
2004,4,26,S,3,11,C
2004,4,26,Y,3,7,D
2004,4,26,T,3,5,G
2004,4,26,F,3,1,E
2004,4,26,L,2,5,M
2004,4,26,B,3,9,H
2004,4,27,S,0,8,C
2004,4,27,Y,8,3,D
2004,4,27,T,1,11,G
2004,4,27,F,7,6,E
2004,4,27,L,2,7,M
2004,4,27,B,2,5,H
2004,4,28,S,6,4,C
2004,4,28,Y,2,9,D
2004,4,28,T,3,3,G
2004,4,29,S,4,1,G
2004,4,29,T,2,1,Y
2004,4,29,C,9,4,D
2004,4,29,M,4,3,F
2004,4,29,B,3,4,E
2004,4,29,H,3,7,L
2004,4,30,S,4,3,G
2004,4,30,T,2,3,Y
2004,4,30,C,12,2,D
2004,4,30,M,5,1,F
2004,4,30,B,5,0,E
2004,4,30,H,4,4,L
2004,5,1,S,11,2,G
2004,5,1,T,7,6,Y
2004,5,1,C,10,7,D
2004,5,1,M,4,9,F
2004,5,1,B,4,2,E
2004,5,1,H,6,3,L
2004,5,2,,,,
2004,5,3,G,3,2,C
2004,5,3,Y,0,6,S
2004,5,3,D,4,2,T
2004,5,3,F,4,5,H
2004,5,3,E,2,1,M
2004,5,3,L,6,7,B
2004,5,4,G,1,6,C
2004,5,4,Y,3,2,S
2004,5,4,D,0,9,T
2004,5,4,F,6,6,H
2004,5,4,E,5,3,M
2004,5,4,L,8,2,B
2004,5,5,G,4,2,C
2004,5,5,Y,4,2,S
2004,5,5,D,0,1,T
2004,5,5,F,1,2,H
2004,5,5,E,8,15,M
2004,5,5,L,5,7,B
2004,5,6,G,2,7,D
2004,5,6,T,2,0,S
2004,5,6,C,0,6,Y
2004,5,6,L,4,8,F
2004,5,6,M,0,5,B
2004,5,6,H,3,2,E
2004,5,7,G,1,8,D
2004,5,7,T,6,10,S
2004,5,7,C,10,4,Y
2004,5,7,L,6,8,F
2004,5,7,M,4,3,B
2004,5,7,H,3,2,E
2004,5,8,G,4,11,D
2004,5,8,T,1,5,S
2004,5,8,C,1,7,Y
2004,5,8,L,6,2,F
2004,5,8,M,4,3,B
2004,5,8,H,3,1,E
2004,5,9,,,,
2004,5,10,S,3,6,C
2004,5,10,Y,3,6,D
2004,5,10,F,4,0,B
2004,5,10,H,2,1,M
2004,5,11,S,5,2,C
2004,5,11,Y,2,0,D
2004,5,11,T,1,3,G
2004,5,11,F,6,2,B
2004,5,11,E,8,3,L
2004,5,11,H,9,5,M
2004,5,12,S,4,3,C
2004,5,12,Y,6,5,D
2004,5,12,E,4,0,L
2004,5,12,H,2,3,M
2004,5,13,G,3,2,S
2004,5,13,Y,2,3,T
2004,5,13,D,3,6,C
2004,5,13,F,5,4,L
2004,5,14,G,7,1,S
2004,5,14,Y,3,1,T
2004,5,14,D,6,5,C
2004,5,14,F,7,3,L
2004,5,14,M,13,12,E
2004,5,14,B,4,3,H
2004,5,15,G,3,2,S
2004,5,15,Y,5,5,T
2004,5,15,D,3,3,C
2004,5,15,F,3,6,L
2004,5,15,M,9,8,E
2004,5,15,B,1,2,H
2004,5,16,,,,
2004,5,17,G,1,7,Y
2004,5,17,T,3,4,D
2004,5,17,C,9,0,S
2004,5,17,E,1,7,B
2004,5,17,M,5,2,L
2004,5,17,H,2,7,F
2004,5,18,G,0,1,Y
2004,5,18,T,3,2,D
2004,5,18,C,3,11,S
2004,5,18,E,2,10,B
2004,5,18,M,0,3,L
2004,5,18,H,6,2,F
2004,5,19,T,3,2,D
2004,5,19,C,7,6,S
2004,5,19,M,1,2,L
2004,5,19,H,6,8,F
2004,5,20,S,6,3,Y
2004,5,20,D,0,2,G
2004,5,20,T,1,4,C
2004,5,20,B,6,4,M
2004,5,21,S,1,4,Y
2004,5,21,D,6,4,G
2004,5,21,T,4,3,C
2004,5,21,F,5,1,E
2004,5,21,L,4,3,H
2004,5,21,B,3,10,M
2004,5,22,S,3,11,Y
2004,5,22,D,5,1,G
2004,5,22,T,5,10,C
2004,5,22,F,8,0,E
2004,5,22,L,2,4,H
2004,5,22,B,1,5,M
2004,5,23,,,,
2004,5,24,S,5,7,T
2004,5,24,D,5,6,Y
2004,5,24,C,6,0,G
2004,5,24,F,1,3,M
