BATS,LNAME,FNAME,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,TEAM,YEAR
L,Akiyama, Takumi,10,19,16,0,2,0,0,0,2,1,0,0,2,0,1,0,0,3,0,0.125,0.125,0.176,T,2019
R,Aoyagi, Koyo,25,43,37,0,0,0,0,0,0,1,0,0,4,1,1,0,0,19,3,0,0,0.026,T,2019
L,Araki, Fumiya,9,9,9,4,1,1,0,0,2,0,0,1,0,0,0,0,0,4,0,0.111,0.222,0.111,T,2019
R,Baba, Kosuke,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Chikamoto, Koji,142,640,586,81,159,20,7,9,220,42,36,15,14,3,31,2,6,110,2,0.271,0.375,0.313,T,2019
R,Dolis, Rafael,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Egoshi, Taiga,49,16,15,8,1,0,0,0,1,0,1,0,0,0,1,0,0,9,0,0.067,0.067,0.125,T,2019
L,Fujikawa, Kyuji,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Fujikawa, Shunsuke,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,T,2019
R,Fujinami, Shintaro,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,T,2019
L,Fukudome, Kosuke,104,403,348,39,89,16,1,10,137,47,0,0,2,3,49,1,1,85,5,0.256,0.394,0.347,T,2019
L,Fukunaga, Shungo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Garcia, Onelki,21,33,30,1,4,0,0,0,4,1,0,0,3,0,0,0,0,9,1,0.133,0.133,0.133,T,2019
R,Hamachi, Masumi,21,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,T,2019
R,Haraguchi, Fumihito,43,94,87,8,24,4,0,1,31,11,0,0,0,2,4,0,1,23,3,0.276,0.356,0.309,T,2019
R,Hojo, Fumiya,82,211,174,18,43,7,0,5,65,20,2,0,13,0,23,0,1,40,3,0.247,0.374,0.338,T,2019
L,Iida, Yuya,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Ishizaki, Tsuyoshi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Itohara, Kento,143,572,491,66,131,20,4,2,165,45,6,5,11,3,60,2,7,70,7,0.267,0.336,0.353,T,2019
L,Itoi, Yoshio,103,444,382,45,120,22,1,5,159,42,9,5,0,3,52,7,7,63,10,0.314,0.416,0.403,T,2019
L,Iwasada, Yuta,8,12,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0.083,T,2019
L,Iwata, Minoru,14,27,22,0,0,0,0,0,0,0,0,0,3,0,2,0,0,17,0,0,0,0.083,T,2019
L,Iwazaki, Suguru,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,T,2019
R,Johnson, Pierce,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Kinami, Seiya,113,390,363,32,95,18,2,4,129,32,2,0,6,0,18,5,3,77,8,0.262,0.355,0.302,T,2019
R,Kuwahara, Kentaro,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Marte, Jefry,105,412,349,36,99,20,0,12,155,49,0,2,0,5,51,2,7,73,14,0.284,0.444,0.381,T,2019
R,Messenger, Randy,14,19,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,0,T,2019
R,Mochizuki, Atsushi,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,T,2019
R,Moriya, Koki,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Nagasaka, Kenya,3,1,1,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,4,1,T,2019
R,Nakatani, Masahiro,62,131,116,14,21,5,0,6,44,19,0,0,2,0,12,0,1,37,0,0.181,0.379,0.264,T,2019
L,Navarro, Efren,15,45,43,1,9,2,0,0,11,2,0,0,0,0,2,0,0,9,2,0.209,0.256,0.244,T,2019
R,Nishi, Yuki,26,60,44,2,9,2,0,0,11,4,0,0,13,0,3,0,0,18,1,0.205,0.25,0.255,T,2019
L,Nomi, Atsushi,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Okamoto, Yosuke,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Onaka, Yuya,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Ono, Taiki,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Oyama, Yusuke,143,587,538,52,139,33,1,14,216,76,3,0,1,4,39,3,5,98,12,0.258,0.401,0.312,T,2019
R,Saiki, Hiroto,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,T,2019
L,Saito, Yukiya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
R,Sakamoto, Seishiro,20,44,40,2,7,0,0,2,13,3,0,0,3,0,1,1,0,8,2,0.175,0.325,0.195,T,2019
L,Shimada, Kairi,7,5,4,2,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0.25,0.5,0.4,T,2019
L,Shimamoto, Hiroya,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
S,Solarte, Yangervis,20,80,69,6,13,3,0,4,28,9,0,0,0,2,9,0,0,13,4,0.188,0.406,0.275,T,2019
L,Takahashi, Akifumi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Takahashi, Haruto,19,31,30,1,3,0,0,0,3,0,0,0,1,0,0,0,0,13,0,0.1,0.1,0.1,T,2019
R,Takano, Keisuke,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Takayama, Shun,105,300,271,25,73,12,0,5,100,29,9,3,2,0,24,4,3,56,3,0.269,0.369,0.336,T,2019
R,Tanigawa, Masaki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,2019
L,Toritani, Takashi,74,105,92,9,19,3,1,0,24,4,1,0,1,0,12,0,0,16,2,0.207,0.261,0.298,T,2019
S,Ueda, Kai,81,37,33,22,8,0,0,1,11,2,12,2,2,0,1,0,1,8,0,0.242,0.333,0.286,T,2019
